dataset,method,representation,classifier,seed,accuracy,n_features,encode_seconds,fit_seconds,predict_seconds,peak_mib,n_train,n_test,length,n_classes,error
ArrowHead,baseline-1nn-euclidean,raw,knn1,0,0.8,251,0.0012707000132650137,0.05875500000547618,3.265870100003667,50.980034828186035,36,175,251,3,
ArrowHead,baseline-1nn-euclidean,raw,knn1,1,0.8,251,0.0014924000133760273,0.0550568999897223,3.1129108000022825,50.97926712036133,36,175,251,3,
ArrowHead,baseline-1nn-euclidean,raw,knn1,2,0.8,251,0.002151399996364489,0.0628656999906525,3.0457406000059564,50.9799108505249,36,175,251,3,
ArrowHead,baseline-raw-logreg,raw,logreg,0,0.7314285714285714,251,0.0013773000100627542,0.13286320000770502,0.0033096999977715313,51.30773448944092,36,175,251,3,
ArrowHead,baseline-raw-logreg,raw,logreg,1,0.7314285714285714,251,0.0010006000229623169,0.1483451999956742,0.002836599975125864,51.30882167816162,36,175,251,3,
ArrowHead,baseline-raw-logreg,raw,logreg,2,0.7314285714285714,251,0.0012236999755259603,0.1875014000106603,0.0028845999913755804,51.30759334564209,36,175,251,3,
ArrowHead,gasf-features,gaf,logreg,0,0.49142857142857144,662,136.97885139999562,0.11681419998058118,0.004173799999989569,52.65938472747803,36,175,251,3,
ArrowHead,gasf-features,gaf,logreg,1,0.49142857142857144,662,138.48917680000886,0.12045149999903515,0.0031903000199235976,52.65655994415283,36,175,251,3,
ArrowHead,gasf-features,gaf,logreg,2,0.49142857142857144,662,91.14009040000383,0.1069046999909915,0.0040831000078469515,29.09433650970459,36,175,251,3,
ArrowHead,gadf-features,gadf,logreg,0,0.5142857142857142,662,95.24792399999569,0.12298090002150275,0.005308699997840449,29.09717559814453,36,175,251,3,
ArrowHead,gadf-features,gadf,logreg,1,0.5142857142857142,662,94.88127789998543,0.1385318999818992,0.004134400020120665,29.097376823425293,36,175,251,3,
ArrowHead,gadf-features,gadf,logreg,2,0.5142857142857142,662,95.12294299999485,0.09436049999203533,0.004048000002512708,29.097554206848145,36,175,251,3,
ArrowHead,mtf-features,mtf,logreg,0,0.5428571428571428,662,126.05738380001276,0.12717800002428703,0.003823699982604012,29.095372200012207,36,175,251,3,
ArrowHead,mtf-features,mtf,logreg,1,0.5428571428571428,662,126.47143449998111,0.12855860000126995,0.0048568999918643385,29.095762252807617,36,175,251,3,
ArrowHead,mtf-features,mtf,logreg,2,0.5428571428571428,662,86.3258155999938,0.17171569998026825,0.003788699978031218,28.97476100921631,36,175,251,3,
ArrowHead,rp-features,rp,logreg,0,0.6742857142857143,662,88.54251140000997,0.1588880000053905,0.004705100000137463,28.97475528717041,36,175,251,3,
ArrowHead,rp-features,rp,logreg,1,0.6742857142857143,662,88.37330750000547,0.1834746999957133,0.00458120001712814,28.97461986541748,36,175,251,3,
ArrowHead,rp-features,rp,logreg,2,0.6742857142857143,662,87.88596670000697,0.1549411999876611,0.003958700021030381,28.974003791809082,36,175,251,3,
ArrowHead,ablation-gaf-intensity-only,gaf,logreg,0,0.48,6,0.6209302000061143,0.033123700006399304,0.0023910000163596123,2.7738876342773438,36,175,251,3,
ArrowHead,ablation-gaf-intensity-only,gaf,logreg,1,0.48,6,0.7241840999922715,0.03850699999020435,0.003776300000026822,2.7738876342773438,36,175,251,3,
ArrowHead,ablation-gaf-intensity-only,gaf,logreg,2,0.48,6,0.7243263999989722,0.20251080000889488,0.015966399980243295,2.7703094482421875,36,175,251,3,
ArrowHead,ablation-gaf-texture-only,gaf,logreg,0,0.4514285714285714,268,7.28402280001319,0.05253159999847412,0.0034013999975286424,6.847597122192383,36,175,251,3,
ArrowHead,ablation-gaf-texture-only,gaf,logreg,1,0.4514285714285714,268,7.00808379999944,0.04504259998793714,0.003390500001842156,6.849905967712402,36,175,251,3,
ArrowHead,ablation-gaf-texture-only,gaf,logreg,2,0.4514285714285714,268,9.073695700004464,0.054634900006931275,0.0021930999937467277,6.824867248535156,36,175,251,3,
BME,baseline-1nn-euclidean,raw,knn1,0,0.8333333333333334,128,0.0006667999841738492,0.0024910000211093575,1.8811302999965847,0.38995361328125,30,150,128,3,
BME,baseline-1nn-euclidean,raw,knn1,1,0.8333333333333334,128,0.000833099998999387,0.003497900004731491,2.9090987000090536,0.38995361328125,30,150,128,3,
BME,baseline-1nn-euclidean,raw,knn1,2,0.8333333333333334,128,0.0009275999909732491,0.003150200005620718,2.5932098000193946,0.38995361328125,30,150,128,3,
BME,baseline-raw-logreg,raw,logreg,0,0.88,128,0.0005899000097997487,0.07494190000579692,0.0024960000009741634,0.43520450592041016,30,150,128,3,
BME,baseline-raw-logreg,raw,logreg,1,0.88,128,0.0005638999864459038,0.0707750000001397,0.0023191999935079366,0.4333047866821289,30,150,128,3,
BME,baseline-raw-logreg,raw,logreg,2,0.88,128,0.000507800024934113,0.06733299998450093,0.002122199977748096,0.43314266204833984,30,150,128,3,
BME,gasf-features,gaf,logreg,0,0.6733333333333333,662,29.676410200016107,0.1372043000010308,0.003661800001282245,8.253047943115234,30,150,128,3,
BME,gasf-features,gaf,logreg,1,0.6733333333333333,662,31.171444000006886,0.16482669999822974,0.003307100007077679,8.332138061523438,30,150,128,3,
BME,gasf-features,gaf,logreg,2,0.6733333333333333,662,29.941379099996993,0.15532220000750385,0.003161000000545755,8.331811904907227,30,150,128,3,
BME,gadf-features,gadf,logreg,0,0.6866666666666666,662,31.31039779999992,0.1369008999899961,0.0031644999980926514,8.25306510925293,30,150,128,3,
BME,gadf-features,gadf,logreg,1,0.6866666666666666,662,29.24682960001519,0.17458299998543225,0.002245799987576902,8.251829147338867,30,150,128,3,
BME,gadf-features,gadf,logreg,2,0.6866666666666666,662,28.663476699992316,0.13949840000714175,0.03349470000830479,8.256919860839844,30,150,128,3,
BME,mtf-features,mtf,logreg,0,0.4866666666666667,662,27.8445963000122,0.22164359997259453,0.003040499985218048,8.256400108337402,30,150,128,3,
BME,mtf-features,mtf,logreg,1,0.4866666666666667,662,25.2104008999886,0.14477349998196587,0.003130800003418699,8.253373146057129,30,150,128,3,
BME,mtf-features,mtf,logreg,2,0.4866666666666667,662,29.14168949998566,0.21617469997727312,0.001822499994887039,8.252411842346191,30,150,128,3,
BME,rp-features,rp,logreg,0,0.6866666666666666,662,23.66912790000788,0.10060730000259355,0.012734799995087087,8.252102851867676,30,150,128,3,
BME,rp-features,rp,logreg,1,0.6866666666666666,662,23.500268600007985,0.0898301999841351,0.0032913000031840056,8.2532958984375,30,150,128,3,
BME,rp-features,rp,logreg,2,0.6866666666666666,662,23.687437700020382,0.09418749998440035,0.0034241000248584896,8.253673553466797,30,150,128,3,
BME,ablation-gaf-intensity-only,gaf,logreg,0,0.58,6,0.182959400000982,0.05927800000063144,0.005469900002935901,0.799072265625,30,150,128,3,
